Date,MKT-RF,SMB,HML,RMW,CMA,MOM,LowVol,RF
2018-01-01,-0.000395,-0.009877,-0.004071,1e-05,0.001612,0.001093,0.003025,8e-05
2018-01-02,-0.000451,-0.000954,0.001323,0.001295,0.00344,-0.003859,0.005917,8.3e-05
2018-01-03,-0.015618,-0.002049,-0.003765,-0.002596,-0.000304,0.002125,-0.006412,8.3e-05
2018-01-04,-0.004869,-0.001183,0.008512,-0.000879,0.007087,-0.007848,0.002079,8.1e-05
2018-01-05,-0.002965,-0.004197,0.002828,-0.005714,-0.006895,0.00314,-0.004999,7.8e-05
2018-01-08,-0.0158,0.001286,0.004206,0.004901,0.003037,-0.002789,0.002422,7.8e-05
2018-01-09,-0.004773,-0.002508,-0.004001,0.001016,0.002246,0.002492,0.01117,7.8e-05
2018-01-10,-0.013754,-0.0058,-0.009928,-0.004564,7.2e-05,0.003113,-0.009497,8.5e-05
2018-01-11,-0.009499,0.001251,-0.004621,-0.000458,0.003008,0.00661,0.000799,8.5e-05
2018-01-12,-0.003811,0.001959,0.011347,0.002571,0.001542,0.008017,0.011884,7.7e-05
2018-01-15,0.004432,0.001029,-0.008047,-0.005975,-0.000322,0.012038,-0.006824,7.7e-05
2018-01-16,-0.006585,0.003251,-0.005919,0.001105,0.002328,0.008686,-0.003829,8.1e-05
2018-01-17,-0.008808,0.000618,0.002766,0.000422,0.001915,-0.011304,0.00705,7.8e-05
2018-01-18,0.001693,-0.001366,-0.008832,-0.000513,-5.6e-05,0.016426,0.012019,7.6e-05
2018-01-19,-0.003596,0.004499,-0.004151,-0.001083,-0.001619,0.004436,-0.003257,8.3e-05
2018-01-22,0.013652,-0.010333,-0.001103,7.9e-05,0.009817,-0.014094,0.008077,8e-05
2018-01-23,-0.001924,0.00084,-0.0031,-0.008385,-0.005733,-0.00169,-0.014036,7.4e-05
2018-01-24,0.011787,0.003901,0.009323,0.001012,0.000322,-0.002281,-0.008361,8.7e-05
2018-01-25,-0.018321,0.001906,0.001035,-0.002088,-0.003557,-0.010193,0.003597,8.1e-05
2018-01-26,-0.003121,-0.000466,-0.006122,0.001497,0.001228,0.000934,-0.003391,8.1e-05
2018-01-29,0.003047,-0.003758,0.00516,-0.000197,0.000827,-0.001956,0.001729,8.1e-05
2018-01-30,-0.007854,0.00079,0.004195,0.005222,0.005677,-0.014378,0.00206,8.6e-05
2018-01-31,-0.002576,0.004194,0.011666,-0.001405,0.005889,-0.001009,0.002295,9e-05
2018-02-01,0.019078,0.00296,-0.004546,0.003388,-0.008583,0.008422,-0.004302,7.4e-05
2018-02-02,-0.006003,-0.00115,-0.000487,0.001381,0.004054,0.021471,0.009205,8e-05
2018-02-05,0.01559,0.010267,0.00531,-0.000954,-0.000752,-0.011548,-0.001881,8.6e-05
2018-02-06,-0.008601,-0.003898,0.000189,-0.003075,-0.001786,0.001483,0.003412,8.1e-05
2018-02-07,-0.018383,0.000873,0.000959,-0.001605,-0.001486,-0.001724,-0.00312,8.6e-05
